[62084:775:0607/223855.903286:WARNING:CONSOLE(0)] "The page delivered both an 'X-Frame-Options' header and a 'Content-Security-Policy' header with a 'frame-ancestors' directive. Although the 'X-Frame-Options' header alone would have blocked embedding, it has been ignored.", source: chrome-untrusted://new-tab-page/custom_background_image?url= (0)
[62084:775:0607/223856.617082:WARNING:CONSOLE(0)] "The page delivered both an 'X-Frame-Options' header and a 'Content-Security-Policy' header with a 'frame-ancestors' directive. Although the 'X-Frame-Options' header alone would have blocked embedding, it has been ignored.", source: chrome-untrusted://new-tab-page/one-google-bar?paramsencoded= (0)
[62084:775:0607/223856.821441:INFO:CONSOLE(9)] "Uncaught TypeError: Cannot read property 'gridRows' of undefined", source: https://cdn2.hubspot.net/hub/6968579/hub_generated/template_assets/31540438481/1621322686144/Memrise_Website_July_2020/Coded_Files/common.js (9)
[62084:775:0607/223902.128125:INFO:CONSOLE(0)] "[DOM] Input elements should have autocomplete attributes (suggested: "current-password"): (More info: https://goo.gl/9p2vKq) %o", source: https://app.memrise.com/signin (0)
[62084:775:0607/224055.383236:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224151.139918:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224246.885512:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224342.625433:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224438.424866:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224534.251575:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224630.118058:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224725.873015:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224821.762578:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/224917.597164:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225013.412323:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225109.250430:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225205.088720:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225300.933378:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225356.702732:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225452.560943:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225548.879965:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225644.705527:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225740.519576:INFO:CONSOLE(1)] "Defaulting to English (for static rendering)", source: https://static.memrise.com/webclient/_next/static/chunks/pages/_app-4282a47863d09fb571a2.js (1)
[62084:775:0607/225832.581227:WARNING:pref_notifier_impl.cc(40)] Pref observer for media_router.cast_allow_all_ips found at shutdown.
